Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Day 3,Chrome 67.0.3396.99,,2018-07-26 15:07:17,2018-07-26 15:07:30,13.066s,PASSED
,,,,,,
Test Cases/Day3/Test 2,Chrome 67.0.3396.99,,2018-07-26 15:07:17,2018-07-26 15:07:30,12.744s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:07:17,2018-07-26 15:07:20,2.730s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:07:20,2018-07-26 15:07:25,4.683s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:07:25,2018-07-26 15:07:25,0.131s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:07:25,2018-07-26 15:07:25,0.085s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:07:25,2018-07-26 15:07:29,4.131s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:07:29,2018-07-26 15:07:30,0.603s,PASSED
