Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Day 3,Chrome 67.0.3396.99,,2018-07-26 15:20:02,2018-07-26 15:20:21,19.553s,PASSED
,,,,,,
Test Cases/Day3/Test 2,Chrome 67.0.3396.99,,2018-07-26 15:20:02,2018-07-26 15:20:21,19.260s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:20:02,2018-07-26 15:20:05,2.734s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:20:05,2018-07-26 15:20:10,5.295s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:20:10,2018-07-26 15:20:10,0.118s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:20:10,2018-07-26 15:20:10,0.082s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:20:10,2018-07-26 15:20:20,10.115s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:20:20,2018-07-26 15:20:21,0.597s,PASSED
