Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Day 3,Chrome 67.0.3396.99,,2018-07-26 15:22:11,2018-07-26 15:22:25,13.974s,PASSED
,,,,,,
Test Cases/Day3/Test 2,Chrome 67.0.3396.99,,2018-07-26 15:22:12,2018-07-26 15:22:25,13.621s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:22:12,2018-07-26 15:22:15,2.728s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:22:15,2018-07-26 15:22:20,5.671s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:22:20,2018-07-26 15:22:21,0.158s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:22:21,2018-07-26 15:22:21,0.086s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:22:21,2018-07-26 15:22:25,4.063s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:22:25,2018-07-26 15:22:25,0.608s,PASSED
