Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Day 3,Chrome 67.0.3396.99,,2018-07-26 15:18:43,2018-07-26 15:18:56,13.036s,PASSED
,,,,,,
Test Cases/Day3/Test 2,Chrome 67.0.3396.99,,2018-07-26 15:18:43,2018-07-26 15:18:56,12.727s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:18:43,2018-07-26 15:18:46,2.951s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:18:46,2018-07-26 15:18:51,4.597s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:18:51,2018-07-26 15:18:51,0.136s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:18:51,2018-07-26 15:18:51,0.087s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:18:51,2018-07-26 15:18:55,4.021s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:18:55,2018-07-26 15:18:56,0.608s,PASSED
