Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Day 3,Chrome 67.0.3396.99,,2018-07-26 15:06:37,2018-07-26 15:06:51,13.704s,PASSED
,,,,,,
Test Cases/Day3/Test 2,Chrome 67.0.3396.99,,2018-07-26 15:06:37,2018-07-26 15:06:51,13.377s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:06:38,2018-07-26 15:06:40,2.716s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:06:40,2018-07-26 15:06:46,5.338s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:06:46,2018-07-26 15:06:46,0.133s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:06:46,2018-07-26 15:06:46,0.084s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:06:46,2018-07-26 15:06:50,4.123s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:06:50,2018-07-26 15:06:51,0.640s,PASSED
