Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 67.0.3396.99,,2018-07-24 17:43:38,2018-07-24 17:43:53,14.465s,PASSED
,,,,,,
Test Cases/Login/Test 1,Chrome 67.0.3396.99,abcd,2018-07-24 17:43:39,2018-07-24 17:43:47,8.191s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 17:43:39,2018-07-24 17:43:42,2.845s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 17:43:42,2018-07-24 17:43:44,2.155s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:43:44,2018-07-24 17:43:45,0.771s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 17:43:45,2018-07-24 17:43:45,0.154s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 17:43:45,2018-07-24 17:43:45,0.300s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:43:45,2018-07-24 17:43:46,0.987s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-24 17:43:46,2018-07-24 17:43:47,0.622s,PASSED
,,,,,,
Test Cases/Login/Test 2,Chrome 67.0.3396.99,,2018-07-24 17:43:47,2018-07-24 17:43:53,5.869s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 17:43:47,2018-07-24 17:43:49,1.955s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 17:43:49,2018-07-24 17:43:50,1.430s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:43:50,2018-07-24 17:43:51,0.490s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 17:43:51,2018-07-24 17:43:51,0.124s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 17:43:51,2018-07-24 17:43:51,0.149s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:43:51,2018-07-24 17:43:52,0.985s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-24 17:43:52,2018-07-24 17:43:53,0.605s,PASSED
