Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
OrangeHRM,Firefox 51.0,,2018-07-24 16:37:04,2018-07-24 16:38:01,57.013s,FAILED
,,,,,,
Test Cases/OrangeHRM Login/Login - Orange HRM,Firefox 51.0,,2018-07-24 16:37:04,2018-07-24 16:37:20,15.914s,PASSED
openBrowser,Firefox 51.0,,2018-07-24 16:37:04,2018-07-24 16:37:12,7.864s,PASSED
navigateToUrl,Firefox 51.0,,2018-07-24 16:37:12,2018-07-24 16:37:17,4.535s,PASSED
setText,Firefox 51.0,,2018-07-24 16:37:17,2018-07-24 16:37:17,0.231s,PASSED
setEncryptedText,Firefox 51.0,,2018-07-24 16:37:17,2018-07-24 16:37:18,0.684s,PASSED
click,Firefox 51.0,,2018-07-24 16:37:18,2018-07-24 16:37:20,2.293s,PASSED
,,,,,,
Test Cases/ValidateLinks/EditValues,Firefox 51.0,,2018-07-24 16:37:20,2018-07-24 16:38:00,40.546s,FAILED
click,Firefox 51.0,,2018-07-24 16:37:20,2018-07-24 16:37:22,1.581s,PASSED
click,Firefox 51.0,,2018-07-24 16:37:22,2018-07-24 16:37:22,0.650s,PASSED
click,Firefox 51.0,,2018-07-24 16:37:22,2018-07-24 16:37:24,1.374s,PASSED
click,Firefox 51.0,,2018-07-24 16:37:24,2018-07-24 16:37:24,0.114s,PASSED
click,Firefox 51.0,,2018-07-24 16:37:24,2018-07-24 16:37:24,0.104s,PASSED
click,Firefox 51.0,,2018-07-24 16:37:24,2018-07-24 16:37:24,0.474s,PASSED
selectOptionByValue,Firefox 51.0,,2018-07-24 16:37:24,2018-07-24 16:37:26,1.423s,PASSED
click,Firefox 51.0,,2018-07-24 16:37:26,2018-07-24 16:37:27,1.539s,PASSED
click,Firefox 51.0,,2018-07-24 16:37:27,2018-07-24 16:37:28,0.639s,PASSED
click,Firefox 51.0,,2018-07-24 16:37:28,2018-07-24 16:37:29,1.022s,PASSED
click,Firefox 51.0,,2018-07-24 16:37:29,2018-07-24 16:38:00,31.473s,FAILED
