Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Day 3,Chrome 67.0.3396.99,,2018-07-26 15:19:21,2018-07-26 15:19:35,13.319s,PASSED
,,,,,,
Test Cases/Day3/Test 2,Chrome 67.0.3396.99,,2018-07-26 15:19:22,2018-07-26 15:19:35,13.015s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:19:22,2018-07-26 15:19:25,2.814s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:19:25,2018-07-26 15:19:30,4.979s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:19:30,2018-07-26 15:19:30,0.137s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:19:30,2018-07-26 15:19:30,0.085s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:19:30,2018-07-26 15:19:34,4.107s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:19:34,2018-07-26 15:19:35,0.593s,PASSED
