Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Day 3,Chrome 67.0.3396.99,,2018-07-26 15:07:57,2018-07-26 15:08:10,13.150s,PASSED
,,,,,,
Test Cases/Day3/Test 2,Chrome 67.0.3396.99,,2018-07-26 15:07:57,2018-07-26 15:08:10,12.853s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:07:57,2018-07-26 15:08:00,2.738s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:08:00,2018-07-26 15:08:05,4.800s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:08:05,2018-07-26 15:08:05,0.136s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:08:05,2018-07-26 15:08:05,0.081s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:08:05,2018-07-26 15:08:09,4.158s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:08:09,2018-07-26 15:08:10,0.613s,PASSED
