Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
OrangeHRM,Chrome 67.0.3396.99,,2018-07-24 16:19:33,2018-07-24 16:20:44,1m - 10.700s,FAILED
,,,,,,
Test Cases/OrangeHRM Login/Login - Orange HRM,Chrome 67.0.3396.99,,2018-07-24 16:19:33,2018-07-24 16:19:43,10.270s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 16:19:33,2018-07-24 16:19:36,2.890s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 16:19:36,2018-07-24 16:19:41,4.470s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 16:19:41,2018-07-24 16:19:41,0.140s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 16:19:41,2018-07-24 16:19:41,0.280s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:19:41,2018-07-24 16:19:43,2.193s,PASSED
,,,,,,
Test Cases/ValidateLinks/ValidateLinks,Chrome 67.0.3396.99,,2018-07-24 16:19:43,2018-07-24 16:19:54,11.062s,FAILED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 16:19:44,2018-07-24 16:19:54,10.899s,FAILED
,,,,,,
Test Cases/ValidateLinks/EditValues,Chrome 67.0.3396.99,,2018-07-24 16:19:54,2018-07-24 16:20:43,48.458s,FAILED
callTestCase,Chrome 67.0.3396.99,,2018-07-24 16:19:55,2018-07-24 16:20:05,9.949s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 16:20:05,2018-07-24 16:20:07,2.553s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 16:20:07,2018-07-24 16:20:12,4.651s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:20:12,2018-07-24 16:20:43,31.138s,FAILED
