Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Day 3,Chrome 67.0.3396.99,,2018-07-26 15:09:17,2018-07-26 15:09:30,13.200s,PASSED
,,,,,,
Test Cases/Day3/Test 2,Chrome 67.0.3396.99,,2018-07-26 15:09:17,2018-07-26 15:09:30,12.863s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:09:18,2018-07-26 15:09:21,2.702s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:09:21,2018-07-26 15:09:25,4.875s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:09:25,2018-07-26 15:09:26,0.167s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:09:26,2018-07-26 15:09:26,0.085s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:09:26,2018-07-26 15:09:30,4.079s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:09:30,2018-07-26 15:09:30,0.599s,PASSED
