Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Day 3,Chrome 67.0.3396.99,,2018-07-26 15:03:57,2018-07-26 15:04:10,12.825s,PASSED
,,,,,,
Test Cases/Day3/Test 2,Chrome 67.0.3396.99,,2018-07-26 15:03:57,2018-07-26 15:04:10,12.539s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:03:57,2018-07-26 15:04:00,2.721s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:04:00,2018-07-26 15:04:05,4.484s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:04:05,2018-07-26 15:04:05,0.138s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:04:05,2018-07-26 15:04:05,0.083s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:04:05,2018-07-26 15:04:09,4.162s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:04:09,2018-07-26 15:04:10,0.598s,PASSED
