Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 67.0.3396.99,,2018-07-24 17:52:25,2018-07-24 17:52:39,13.963s,PASSED
,,,,,,
Test Cases/Login/Test 1,Chrome 67.0.3396.99,abcd,2018-07-24 17:52:25,2018-07-24 17:52:33,7.978s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 17:52:26,2018-07-24 17:52:28,2.696s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 17:52:28,2018-07-24 17:52:30,2.018s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:52:30,2018-07-24 17:52:31,0.821s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 17:52:31,2018-07-24 17:52:31,0.150s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 17:52:31,2018-07-24 17:52:32,0.305s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:52:32,2018-07-24 17:52:33,0.941s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-24 17:52:33,2018-07-24 17:52:33,0.635s,PASSED
,,,,,,
Test Cases/Login/Test 2,Chrome 67.0.3396.99,,2018-07-24 17:52:33,2018-07-24 17:52:39,5.576s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 17:52:33,2018-07-24 17:52:35,1.947s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 17:52:35,2018-07-24 17:52:36,1.185s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:52:36,2018-07-24 17:52:37,0.449s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 17:52:37,2018-07-24 17:52:37,0.117s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 17:52:37,2018-07-24 17:52:37,0.148s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:52:37,2018-07-24 17:52:38,0.966s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-24 17:52:38,2018-07-24 17:52:39,0.633s,PASSED
