Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 67.0.3396.99,,2018-07-24 13:02:25,2018-07-24 13:02:39,13.790s,PASSED
,,,,,,
Test Cases/Login/Test 1,Chrome 67.0.3396.99,abcd,2018-07-24 13:02:25,2018-07-24 13:02:33,7.563s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 13:02:26,2018-07-24 13:02:28,2.863s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 13:02:28,2018-07-24 13:02:30,1.924s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 13:02:30,2018-07-24 13:02:31,0.484s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 13:02:31,2018-07-24 13:02:31,0.151s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 13:02:31,2018-07-24 13:02:31,0.332s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 13:02:31,2018-07-24 13:02:32,0.915s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-24 13:02:32,2018-07-24 13:02:33,0.604s,PASSED
,,,,,,
Test Cases/Login/Test 2,Chrome 67.0.3396.99,,2018-07-24 13:02:33,2018-07-24 13:02:39,5.914s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 13:02:33,2018-07-24 13:02:35,1.958s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 13:02:35,2018-07-24 13:02:36,1.446s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 13:02:36,2018-07-24 13:02:37,0.481s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 13:02:37,2018-07-24 13:02:37,0.139s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 13:02:37,2018-07-24 13:02:37,0.173s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 13:02:37,2018-07-24 13:02:38,0.954s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-24 13:02:38,2018-07-24 13:02:39,0.593s,PASSED
