Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
OrangeHRM,Chrome 67.0.3396.99,,2018-07-24 16:27:36,2018-07-24 16:28:21,45.022s,FAILED
,,,,,,
Test Cases/OrangeHRM Login/Login - Orange HRM,Chrome 67.0.3396.99,,2018-07-24 16:27:36,2018-07-24 16:27:46,10.321s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 16:27:36,2018-07-24 16:27:39,2.836s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 16:27:39,2018-07-24 16:27:44,4.441s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 16:27:44,2018-07-24 16:27:44,0.139s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 16:27:44,2018-07-24 16:27:44,0.283s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:27:44,2018-07-24 16:27:46,2.335s,PASSED
,,,,,,
Test Cases/ValidateLinks/EditValues,Chrome 67.0.3396.99,,2018-07-24 16:27:46,2018-07-24 16:28:20,33.554s,FAILED
click,Chrome 67.0.3396.99,,2018-07-24 16:27:47,2018-07-24 16:27:48,1.529s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:27:48,2018-07-24 16:27:49,0.550s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 16:27:49,2018-07-24 16:27:49,0.105s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:27:49,2018-07-24 16:28:20,31.189s,FAILED
