Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Day 3,Chrome 67.0.3396.99,,2018-07-26 15:02:37,2018-07-26 15:02:50,12.838s,PASSED
,,,,,,
Test Cases/Day3/Test 2,Chrome 67.0.3396.99,,2018-07-26 15:02:37,2018-07-26 15:02:50,12.520s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:02:37,2018-07-26 15:02:40,2.804s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:02:40,2018-07-26 15:02:45,4.443s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:02:45,2018-07-26 15:02:45,0.139s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:02:45,2018-07-26 15:02:45,0.082s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:02:45,2018-07-26 15:02:49,4.077s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:02:49,2018-07-26 15:02:50,0.626s,PASSED
