Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Day 3,Chrome 67.0.3396.99,,2018-07-26 12:53:07,2018-07-26 12:53:21,14.513s,PASSED
,,,,,,
Test Cases/Day3/Test 2,Chrome 67.0.3396.99,,2018-07-26 12:53:07,2018-07-26 12:53:21,14.204s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 12:53:07,2018-07-26 12:53:10,2.825s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 12:53:10,2018-07-26 12:53:16,5.689s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 12:53:16,2018-07-26 12:53:16,0.131s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 12:53:16,2018-07-26 12:53:16,0.084s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:53:16,2018-07-26 12:53:20,4.182s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 12:53:20,2018-07-26 12:53:21,0.976s,PASSED
