Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Day 3,Chrome 67.0.3396.99,,2018-07-26 15:05:17,2018-07-26 15:05:30,12.874s,PASSED
,,,,,,
Test Cases/Day3/Test 2,Chrome 67.0.3396.99,,2018-07-26 15:05:17,2018-07-26 15:05:30,12.583s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:05:17,2018-07-26 15:05:20,2.778s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:05:20,2018-07-26 15:05:25,4.667s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:05:25,2018-07-26 15:05:25,0.139s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:05:25,2018-07-26 15:05:25,0.084s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:05:25,2018-07-26 15:05:29,3.978s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:05:29,2018-07-26 15:05:30,0.600s,PASSED
