Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
OrangeHRM,Chrome 67.0.3396.99,,2018-07-24 15:32:06,2018-07-24 15:32:20,13.604s,PASSED
,,,,,,
Test Cases/OrangeHRM Login/Login - Orange HRM,Chrome 67.0.3396.99,,2018-07-24 15:32:07,2018-07-24 15:32:19,12.423s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 15:32:07,2018-07-24 15:32:10,2.885s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 15:32:10,2018-07-24 15:32:14,4.784s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 15:32:14,2018-07-24 15:32:15,0.132s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 15:32:15,2018-07-24 15:32:15,0.268s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:32:15,2018-07-24 15:32:19,4.061s,PASSED
,,,,,,
Test Cases/ValidateLinks/ValidateLinks,Chrome 67.0.3396.99,,2018-07-24 15:32:19,2018-07-24 15:32:20,0.878s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 15:32:19,2018-07-24 15:32:19,0.033s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 15:32:19,2018-07-24 15:32:19,0.019s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 15:32:19,2018-07-24 15:32:19,0.020s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 15:32:19,2018-07-24 15:32:19,0.019s,PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-24 15:32:19,2018-07-24 15:32:19,0.017s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-24 15:32:19,2018-07-24 15:32:20,0.608s,PASSED
