Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 67.0.3396.99,,2018-07-24 15:04:37,2018-07-24 15:04:53,16.037s,PASSED
,,,,,,
Test Cases/Login/Test 1,Chrome 67.0.3396.99,abcd,2018-07-24 15:04:37,2018-07-24 15:04:45,8.317s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 15:04:37,2018-07-24 15:04:41,3.171s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 15:04:41,2018-07-24 15:04:43,1.935s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:04:43,2018-07-24 15:04:43,0.570s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 15:04:43,2018-07-24 15:04:43,0.178s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 15:04:43,2018-07-24 15:04:44,0.354s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:04:44,2018-07-24 15:04:45,1.005s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-24 15:04:45,2018-07-24 15:04:45,0.713s,PASSED
,,,,,,
Test Cases/Login/Test 2,Chrome 67.0.3396.99,,2018-07-24 15:04:45,2018-07-24 15:04:53,7.246s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 15:04:46,2018-07-24 15:04:47,1.913s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 15:04:47,2018-07-24 15:04:50,2.683s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:04:50,2018-07-24 15:04:51,0.552s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 15:04:51,2018-07-24 15:04:51,0.185s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 15:04:51,2018-07-24 15:04:51,0.167s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 15:04:51,2018-07-24 15:04:52,0.933s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-24 15:04:52,2018-07-24 15:04:53,0.643s,PASSED
