Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Day 3,Chrome 67.0.3396.99,,2018-07-26 15:05:57,2018-07-26 15:06:10,13.103s,PASSED
,,,,,,
Test Cases/Day3/Test 2,Chrome 67.0.3396.99,,2018-07-26 15:05:57,2018-07-26 15:06:10,12.807s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:05:58,2018-07-26 15:06:00,2.748s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:06:00,2018-07-26 15:06:05,4.873s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:06:05,2018-07-26 15:06:05,0.131s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:06:05,2018-07-26 15:06:05,0.083s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:06:05,2018-07-26 15:06:09,4.009s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:06:09,2018-07-26 15:06:10,0.602s,PASSED
