Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
OrangeHRM,Chrome 67.0.3396.99,,2018-07-24 16:33:58,2018-07-24 16:34:17,19.305s,FAILED
,,,,,,
Test Cases/OrangeHRM Login/Login - Orange HRM,Chrome 67.0.3396.99,,2018-07-24 16:33:58,2018-07-24 16:34:09,11.021s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 16:33:58,2018-07-24 16:34:01,2.875s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 16:34:01,2018-07-24 16:34:06,5.194s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 16:34:06,2018-07-24 16:34:06,0.140s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 16:34:06,2018-07-24 16:34:07,0.280s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:34:07,2018-07-24 16:34:09,2.261s,PASSED
,,,,,,
Test Cases/ValidateLinks/EditValues,Chrome 67.0.3396.99,,2018-07-24 16:34:09,2018-07-24 16:34:16,7.387s,FAILED
click,Chrome 67.0.3396.99,,2018-07-24 16:34:09,2018-07-24 16:34:11,1.490s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:34:11,2018-07-24 16:34:11,0.549s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:34:11,2018-07-24 16:34:13,1.462s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:34:13,2018-07-24 16:34:13,0.090s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:34:13,2018-07-24 16:34:13,0.111s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:34:13,2018-07-24 16:34:13,0.095s,PASSED
selectOptionByValue,Chrome 67.0.3396.99,,2018-07-24 16:34:13,2018-07-24 16:34:14,1.228s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:34:14,2018-07-24 16:34:16,1.320s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:34:16,2018-07-24 16:34:16,0.541s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:34:16,2018-07-24 16:34:16,0.320s,FAILED
