Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Day 3,Chrome 67.0.3396.99,,2018-07-26 15:04:37,2018-07-26 15:04:50,12.711s,PASSED
,,,,,,
Test Cases/Day3/Test 2,Chrome 67.0.3396.99,,2018-07-26 15:04:37,2018-07-26 15:04:50,12.435s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:04:37,2018-07-26 15:04:40,2.765s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:04:40,2018-07-26 15:04:45,4.495s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:04:45,2018-07-26 15:04:45,0.143s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:04:45,2018-07-26 15:04:45,0.088s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:04:45,2018-07-26 15:04:49,4.029s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:04:49,2018-07-26 15:04:50,0.602s,PASSED
