Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
OrangeHRM,Chrome 67.0.3396.99,,2018-07-24 16:23:19,2018-07-24 16:23:32,12.253s,FAILED
,,,,,,
Test Cases/OrangeHRM Login/Login - Orange HRM,Chrome 67.0.3396.99,,2018-07-24 16:23:20,2018-07-24 16:23:30,10.826s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 16:23:20,2018-07-24 16:23:23,2.929s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 16:23:23,2018-07-24 16:23:28,4.980s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 16:23:28,2018-07-24 16:23:28,0.139s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 16:23:28,2018-07-24 16:23:28,0.301s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:23:28,2018-07-24 16:23:30,2.208s,PASSED
,,,,,,
Test Cases/ValidateLinks/EditValues,Chrome 67.0.3396.99,,2018-07-24 16:23:30,2018-07-24 16:23:31,0.498s,FAILED
click,Chrome 67.0.3396.99,,2018-07-24 16:23:31,2018-07-24 16:23:31,0.327s,FAILED
