Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 67.0.3396.99,,2018-07-24 17:50:54,2018-07-24 17:51:08,13.594s,PASSED
,,,,,,
Test Cases/Login/Test 1,Chrome 67.0.3396.99,abcd,2018-07-24 17:50:55,2018-07-24 17:51:02,7.690s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 17:50:55,2018-07-24 17:50:58,2.914s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 17:50:58,2018-07-24 17:51:00,1.915s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:51:00,2018-07-24 17:51:00,0.486s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 17:51:00,2018-07-24 17:51:01,0.138s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 17:51:01,2018-07-24 17:51:01,0.322s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:51:01,2018-07-24 17:51:02,0.927s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-24 17:51:02,2018-07-24 17:51:02,0.614s,PASSED
,,,,,,
Test Cases/Login/Test 2,Chrome 67.0.3396.99,,2018-07-24 17:51:02,2018-07-24 17:51:08,5.530s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 17:51:03,2018-07-24 17:51:04,1.936s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 17:51:04,2018-07-24 17:51:06,1.143s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:51:06,2018-07-24 17:51:06,0.469s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 17:51:06,2018-07-24 17:51:06,0.128s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 17:51:06,2018-07-24 17:51:06,0.147s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 17:51:06,2018-07-24 17:51:07,0.980s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-24 17:51:07,2018-07-24 17:51:08,0.614s,PASSED
