Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Day 3,Chrome 67.0.3396.99,,2018-07-26 15:03:17,2018-07-26 15:03:29,12.693s,PASSED
,,,,,,
Test Cases/Day3/Test 2,Chrome 67.0.3396.99,,2018-07-26 15:03:17,2018-07-26 15:03:29,12.382s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:03:17,2018-07-26 15:03:20,2.680s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:03:20,2018-07-26 15:03:24,4.532s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:03:24,2018-07-26 15:03:25,0.132s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:03:25,2018-07-26 15:03:25,0.083s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:03:25,2018-07-26 15:03:29,3.964s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:03:29,2018-07-26 15:03:29,0.630s,PASSED
