Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Day 3,Chrome 67.0.3396.99,,2018-07-26 15:08:38,2018-07-26 15:08:51,13.485s,PASSED
,,,,,,
Test Cases/Day3/Test 2,Chrome 67.0.3396.99,,2018-07-26 15:08:38,2018-07-26 15:08:51,13.171s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:08:38,2018-07-26 15:08:41,2.713s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:08:41,2018-07-26 15:08:46,5.231s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:08:46,2018-07-26 15:08:46,0.129s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:08:46,2018-07-26 15:08:46,0.084s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:08:46,2018-07-26 15:08:50,4.006s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:08:50,2018-07-26 15:08:51,0.613s,PASSED
