Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
OrangeHRM,Chrome 67.0.3396.99,,2018-07-24 16:29:51,2018-07-24 16:30:36,44.977s,FAILED
,,,,,,
Test Cases/OrangeHRM Login/Login - Orange HRM,Chrome 67.0.3396.99,,2018-07-24 16:29:51,2018-07-24 16:30:02,10.422s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 16:29:51,2018-07-24 16:29:54,2.880s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 16:29:54,2018-07-24 16:29:59,4.514s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 16:29:59,2018-07-24 16:29:59,0.143s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 16:29:59,2018-07-24 16:29:59,0.315s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:29:59,2018-07-24 16:30:02,2.289s,PASSED
,,,,,,
Test Cases/ValidateLinks/EditValues,Chrome 67.0.3396.99,,2018-07-24 16:30:02,2018-07-24 16:30:35,33.637s,FAILED
click,Chrome 67.0.3396.99,,2018-07-24 16:30:02,2018-07-24 16:30:03,1.538s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:30:03,2018-07-24 16:30:04,0.597s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 16:30:04,2018-07-24 16:30:04,0.100s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:30:04,2018-07-24 16:30:35,31.193s,FAILED
